datetime	cnt	tL	X	Y	Z	tP8
2016-10-14 05:00:00	2.4166666666666665	17.138499999999997	-19.036	-8.577	1.548	2.6106816666666666e-06
2016-10-14 06:00:00	2.3333333333333335	17.210416666666667	-19.036	-8.577	1.548	2.1377545833333335e-06
2016-10-14 07:00:00	2.5833333333333335	17.288333333333334	-19.036	-8.577	1.548	1.9116236666666667e-06
2016-10-14 08:00:00	3.9166666666666665	17.371583333333334	-19.036	-8.577	1.548	3.6125895e-06
2016-10-14 09:00:00	5.0	17.459833333333332	-19.036	-8.577	1.548	4.357994533333334e-06
2016-10-14 10:00:00	5.0	17.55225	-19.036	-8.577	1.548	3.401433333333333e-06
2016-10-14 11:00:00	5.0	17.6485	-19.036	-8.577	1.548	2.698953916666667e-06
2016-10-14 12:00:00	5.0	17.748166666666666	-19.036	-8.577	1.548	4.31688825e-06
2016-10-14 13:00:00	5.0	17.851333333333333	-19.036	-8.577	1.548	3.7415225e-06
2016-10-14 14:00:00	5.0	17.9575	-19.036	-8.577	1.548	4.820266666666667e-06
2016-10-14 15:00:00	5.0	18.066083333333335	-19.036	-8.577	1.548	3.6498508333333336e-06
2016-10-14 16:00:00	5.0	18.17716666666667	-19.036	-8.577	1.548	2.4682976666666665e-06
2016-10-14 17:00:00	5.0	18.290499999999998	-19.036	-8.577	1.548	4.107785e-06
2016-10-14 18:00:00	4.833333333333333	18.40575	-19.036	-8.577	1.548	3.3661927500000002e-06
2016-10-14 19:00:00	5.083333333333333	18.523	-19.036	-8.577	1.548	5.279771666666667e-06
2016-10-14 20:00:00	5.0	18.642	-19.036	-8.577	1.548	3.7999866666666668e-06
2016-10-14 21:00:00	2.8333333333333335	18.761916666666668	-19.036	-8.577	1.548	3.9522800000000006e-06
2016-10-14 22:00:00	2.8333333333333335	18.883916666666668	-19.036	-8.577	1.548	3.680965e-06
2016-10-14 23:00:00	2.75	19.006666666666668	-19.036	-8.577	1.548	2.0235441666666667e-06
2016-10-15 00:00:00	2.3333333333333335	19.13083333333333	-19.036	-8.577	1.548	2.6841000000000003e-06
2016-10-15 01:00:00	2.4166666666666665	19.2565	-19.036	-8.577	1.548	2.8729233333333336e-06
