,,,SSR-A_SBE,SSR-A_DBE,SSR-B_SBE,SSR-B_DBE,
1846919605,6E15C1B5,2016-193T08,13,1,25,0,
1846923205,6E15CFC5,2016-193T09,19,1,23,0,
1846926805,6E15DDD5,2016-193T10,20,0,26,0,
1846930405,6E15EBE5,2016-193T11,17,0,27,0,
1846934005,6E15F9F5,2016-193T12,21,0,26,0,
1846937605,6E160805,2016-193T13,21,0,26,1,
1846941205,6E161615,2016-193T14,25,0,26,0,
1846944805,6E162425,2016-193T15,15,0,32,0,
1846948405,6E163235,2016-193T16,22,1,20,0,
1846952005,6E164045,2016-193T17,20,0,22,0,
1846955605,6E164E55,2016-193T18,18,0,32,0,
1846959205,6E165C65,2016-193T19,23,0,24,0,
1846962805,6E166A75,2016-193T20,17,1,31,0,
1846966405,6E167885,2016-193T21,22,0,28,0,
1846970005,6E168695,2016-193T22,22,0,27,0,
1846973605,6E1694A5,2016-193T23,28,2,35,0,
1846977205,6E16A2B5,2016-194T00,16,0,20,0,
1846980805,6E16B0C5,2016-194T01,26,1,31,0,
1846984405,6E16BED5,2016-194T02,25,0,29,1,
1846988005,6E16CCE5,2016-194T03,20,0,29,0,
1846991605,6E16DAF5,2016-194T04,20,0,31,0,
1846995205,6E16E905,2016-194T05,14,0,39,0,
1846998805,6E16F715,2016-194T06,18,1,38,0,
1847002405,6E170525,2016-194T07,17,0,24,0,
1847006005,6E171335,2016-194T08,22,1,28,0,
1847009605,6E172145,2016-194T09,22,0,31,0,
1847013205,6E172F55,2016-194T10,21,0,30,0,
1847016805,6E173D65,2016-194T11,16,0,28,0,
1847020405,6E174B75,2016-194T12,20,1,27,0,
1847024005,6E175985,2016-194T13,26,0,16,0,
1847027605,6E176795,2016-194T14,22,1,23,3,
1847031205,6E1775A5,2016-194T15,26,0,28,1,
1847034805,6E1783B5,2016-194T16,17,0,28,0,
1847038405,6E1791C5,2016-194T17,22,0,30,0,
1847042005,6E179FD5,2016-194T18,25,2,25,0,
1847045605,6E17ADE5,2016-194T19,15,0,15,0,
1847049205,6E17BBF5,2016-194T20,23,0,16,0,
1847052805,6E17CA05,2016-194T21,24,0,22,0,
1847056405,6E17D815,2016-194T22,16,0,14,1,
1847060005,6E17E625,2016-194T23,21,0,20,0,
1847063605,6E17F435,2016-195T00,20,0,22,0,
1847067205,6E180245,2016-195T01,19,0,29,0,
1847070805,6E181055,2016-195T02,17,0,19,0,
1847074405,6E181E65,2016-195T03,12,0,23,1,
1847078005,6E182C75,2016-195T04,21,1,26,1,
1847081605,6E183A85,2016-195T05,21,1,19,0,
1847085205,6E184895,2016-195T06,24,1,25,0,
1847088805,6E1856A5,2016-195T07,23,1,26,0,
1847092405,6E1864B5,2016-195T08,23,0,18,0,
1847096005,6E1872C5,2016-195T09,21,0,30,0,
1847099605,6E1880D5,2016-195T10,21,0,26,0,
1847103205,6E188EE5,2016-195T11,36,0,27,0,
1847106805,6E189CF5,2016-195T12,29,0,27,0,
1847110405,6E18AB05,2016-195T13,16,1,21,0,
1847114005,6E18B915,2016-195T14,23,0,32,1,
1847117605,6E18C725,2016-195T15,12,1,25,0,
1847121205,6E18D535,2016-195T16,21,0,31,0,
1847124805,6E18E345,2016-195T17,13,0,20,0,
1847128405,6E18F155,2016-195T18,22,0,17,0,
1847132005,6E18FF65,2016-195T19,22,0,23,0,
1847135605,6E190D75,2016-195T20,19,0,24,0,
1847139205,6E191B85,2016-195T21,22,0,22,1,
1847142805,6E192995,2016-195T22,22,0,20,0,
1847146405,6E1937A5,2016-195T23,26,0,20,0,
