Decimal,Hex Time,SCET,SSR-A-SBE,SSR-A-DBE,SSR-B-SBE,SSR-B-DBE,
1629717199,612382CF,2009-236T10,21,0,21,0,
1629720799,612390DF,2009-236T11,21,0,21,0,
1629724399,61239EEF,2009-236T12,18,0,15,0,
1629727999,6123ACFF,2009-236T13,31,0,27,0,
1629731599,6123BB0F,2009-236T14,26,0,22,0,
1629735199,6123C91F,2009-236T15,24,0,18,0,
1629738799,6123D72F,2009-236T16,23,0,31,1,
1629742399,6123E53F,2009-236T17,28,0,18,0,
1629745999,6123F34F,2009-236T18,24,0,27,0,
1629749599,6124015F,2009-236T19,31,0,21,0,
1629753199,61240F6F,2009-236T20,24,0,30,0,
1629756799,61241D7F,2009-236T21,36,0,16,0,
1629760399,61242B8F,2009-236T22,26,0,22,0,
1629763999,6124399F,2009-236T23,28,0,23,1,
1629767599,612447AF,2009-237T00,32,0,25,0,
1629771199,612455BF,2009-237T01,24,0,25,0,
1629774799,612463CF,2009-237T02,25,1,26,0,
1629778399,612471DF,2009-237T03,27,1,29,0,
1629781999,61247FEF,2009-237T04,33,0,24,0,
1629785599,61248DFF,2009-237T05,23,0,22,0,
1629789199,61249C0F,2009-237T06,22,0,32,0,
1629792799,6124AA1F,2009-237T07,18,0,22,2,
1629796399,6124B82F,2009-237T08,37,0,23,0,
1629799999,6124C63F,2009-237T09,23,0,20,0,
1629803599,6124D44F,2009-237T10,27,2,35,0,
1629807199,6124E25F,2009-237T11,17,0,17,0,
1629810799,6124F06F,2009-237T12,25,0,25,0,
1629814399,6124FE7F,2009-237T13,21,1,27,0,
1629817999,61250C8F,2009-237T14,23,0,18,0,
1629821599,61251A9F,2009-237T15,19,0,24,0,
1629825199,612528AF,2009-237T16,22,0,21,0,
1629828799,612536BF,2009-237T17,24,1,28,0,
1629832399,612544CF,2009-237T18,20,0,24,0,
1629835999,612552DF,2009-237T19,35,2,19,0,
1629839599,612560EF,2009-237T20,26,0,26,0,
1629843199,61256EFF,2009-237T21,21,0,21,2,
1629846799,61257D0F,2009-237T22,21,0,18,0,
1629850399,61258B1F,2009-237T23,15,0,21,0,
1629853999,6125992F,2009-238T00,29,0,21,0,
1629857599,6125A73F,2009-238T01,25,0,20,0,
1629861199,6125B54F,2009-238T02,26,0,27,0,
1629864799,6125C35F,2009-238T03,18,0,15,0,
1629868399,6125D16F,2009-238T04,19,0,12,1,
1629871999,6125DF7F,2009-238T05,25,0,10,0,
1629875599,6125ED8F,2009-238T06,17,1,21,0,
1629879199,6125FB9F,2009-238T07,20,0,16,0,
1629882799,612609AF,2009-238T08,20,1,18,0,
1629886399,612617BF,2009-238T09,26,2,15,0,
1629889999,612625CF,2009-238T10,25,0,14,1,
1629893599,612633DF,2009-238T11,21,0,16,1,
1629897199,612641EF,2009-238T12,32,0,16,0,
1629900799,61264FFF,2009-238T13,34,0,9,0,
1629904399,61265E0F,2009-238T14,39,0,17,0,
1629907999,61266C1F,2009-238T15,37,0,20,0,
1629911599,61267A2F,2009-238T16,36,0,16,0,
1629915199,6126883F,2009-238T17,29,0,12,0,
1629918799,6126964F,2009-238T18,23,0,16,0,
1629922399,6126A45F,2009-238T19,38,0,17,0,
1629925999,6126B26F,2009-238T20,39,0,15,0,
1629929599,6126C07F,2009-238T21,36,0,8,0,
1629933199,6126CE8F,2009-238T22,37,0,13,0,
1629936799,6126DC9F,2009-238T23,22,0,19,0,
1629940399,6126EAAF,2009-239T00,39,0,13,1,
1629943999,6126F8BF,2009-239T01,42,0,16,0,
1629947599,612706CF,2009-239T02,41,0,27,4,
1629951199,612714DF,2009-239T03,33,0,19,1,
1629954799,612722EF,2009-239T04,32,0,17,0,
1629958399,612730FF,2009-239T05,25,1,20,0,
1629961999,61273F0F,2009-239T06,26,0,22,0,
1629965599,61274D1F,2009-239T07,33,0,15,0,
1629969199,61275B2F,2009-239T08,34,0,19,0,
1629972799,6127693F,2009-239T09,32,0,15,0,
1629976399,6127774F,2009-239T10,27,1,18,0,
1629979999,6127855F,2009-239T11,41,0,17,0,
1629983599,6127936F,2009-239T12,32,0,16,0,
1629987199,6127A17F,2009-239T13,28,0,24,1,
1629990799,6127AF8F,2009-239T14,23,1,7,1,
1629994399,6127BD9F,2009-239T15,33,0,12,1,
1629997999,6127CBAF,2009-239T16,33,0,15,0,
1630001599,6127D9BF,2009-239T17,39,1,22,0,
1630005199,6127E7CF,2009-239T18,41,0,15,0,
1630008799,6127F5DF,2009-239T19,36,0,15,0,
1630012399,612803EF,2009-239T20,37,0,7,0,
1630015999,612811FF,2009-239T21,32,0,14,0,
1630019599,6128200F,2009-239T22,41,0,17,0,
1630023199,61282E1F,2009-239T23,32,0,13,0,
1630026799,61283C2F,2009-240T00,36,0,16,0,
1630030399,61284A3F,2009-240T01,37,0,17,0,
1630033999,6128584F,2009-240T02,33,0,9,0,
1630037599,6128665F,2009-240T03,31,0,20,0,
1630041199,6128746F,2009-240T04,33,1,14,0,
1630044799,6128827F,2009-240T05,27,0,15,0,
1630048399,6128908F,2009-240T06,27,0,7,0,
1630051999,61289E9F,2009-240T07,31,0,4,0,
1630055599,6128ACAF,2009-240T08,25,0,8,0,
1630059199,6128BABF,2009-240T09,28,0,8,0,
1630062799,6128C8CF,2009-240T10,27,0,4,0,PERIAPSIS
1630066399,6128D6DF,2009-240T11,30,0,6,0,
1630069999,6128E4EF,2009-240T12,28,0,7,1,
1630073599,6128F2FF,2009-240T13,26,0,11,0,
1630077199,6129010F,2009-240T14,25,0,5,0,
1630080799,61290F1F,2009-240T15,27,0,11,0,
1630084399,61291D2F,2009-240T16,29,0,11,0,
1630087999,61292B3F,2009-240T17,44,1,10,0,
1630091599,6129394F,2009-240T18,39,0,16,0,
1630095199,6129475F,2009-240T19,34,0,15,0,
1630098799,6129556F,2009-240T20,30,0,14,0,
1630102399,6129637F,2009-240T21,32,0,13,0,
1630105999,6129718F,2009-240T22,44,0,22,0,
1630109599,61297F9F,2009-240T23,33,1,12,0,
1630113199,61298DAF,2009-241T00,28,0,20,0,
1630116799,61299BBF,2009-241T01,21,0,13,0,
1630120399,6129A9CF,2009-241T02,32,0,42,2,
1630123999,6129B7DF,2009-241T03,33,0,18,0,
1630127599,6129C5EF,2009-241T04,35,0,19,0,
1630131199,6129D3FF,2009-241T05,32,0,17,0,
1630134799,6129E20F,2009-241T06,24,0,20,0,
1630138399,6129F01F,2009-241T07,20,0,13,0,
1630141999,6129FE2F,2009-241T08,29,0,18,0,
1630142464,612A0000,2009-241T08,0,0,0,0,
1630145599,612A0C3F,2009-241T09,30,0,21,0,
1630149199,612A1A4F,2009-241T10,29,0,16,0,
1630152799,612A285F,2009-241T11,28,0,16,0,
1630156399,612A366F,2009-241T12,28,0,14,0,
1630159999,612A447F,2009-241T13,29,0,11,1,
1630163599,612A528F,2009-241T14,27,0,16,0,
1630167199,612A609F,2009-241T15,24,0,21,0,
1630170799,612A6EAF,2009-241T16,31,1,22,0,
1630174399,612A7CBF,2009-241T17,37,0,15,0,
1630177999,612A8ACF,2009-241T18,30,0,19,0,
1630181599,612A98DF,2009-241T19,25,0,21,0,
1630185199,612AA6EF,2009-241T20,23,0,10,0,
1630188799,612AB4FF,2009-241T21,26,0,17,0,
1630192399,612AC30F,2009-241T22,31,0,19,0,
1630195999,612AD11F,2009-241T23,28,0,16,0,
1630199599,612ADF2F,2009-242T00,37,0,15,0,
1630203199,612AED3F,2009-242T01,28,0,14,0,
1630206799,612AFB4F,2009-242T02,26,0,15,0,
1630210399,612B095F,2009-242T03,28,0,16,1,
1630213999,612B176F,2009-242T04,40,0,14,0,
1630217599,612B257F,2009-242T05,27,2,17,0,
1630221199,612B338F,2009-242T06,29,1,24,0,
1630224799,612B419F,2009-242T07,37,1,12,0,
1630228399,612B4FAF,2009-242T08,32,0,13,0,
1630231999,612B5DBF,2009-242T09,24,0,22,0,
1630235599,612B6BCF,2009-242T10,30,0,15,0,
1630239199,612B79DF,2009-242T11,33,0,9,0,
1630242799,612B87EF,2009-242T12,41,2,16,0,
1630246399,612B95FF,2009-242T13,31,0,16,1,
1630249999,612BA40F,2009-242T14,31,0,11,1,
1630253599,612BB21F,2009-242T15,24,1,19,1,
1630257199,612BC02F,2009-242T16,35,0,21,1,
1630260799,612BCE3F,2009-242T17,43,0,23,0,
1630264399,612BDC4F,2009-242T18,40,0,12,0,
1630267999,612BEA5F,2009-242T19,29,1,15,0,
1630271599,612BF86F,2009-242T20,28,0,18,0,
1630273536,612C0000,2009-242T21,0,0,0,0,
1630275199,612C067F,2009-242T21,32,0,11,0,
1630278799,612C148F,2009-242T22,28,0,13,0,
1630282399,612C229F,2009-242T23,35,0,13,0,
1630285999,612C30AF,2009-243T00,30,0,18,0,
1630289599,612C3EBF,2009-243T01,30,0,17,0,
1630293199,612C4CCF,2009-243T02,31,0,17,0,
1630296799,612C5ADF,2009-243T03,38,1,9,0,
1630300399,612C68EF,2009-243T04,41,0,17,0,
1630303999,612C76FF,2009-243T05,30,0,18,0,
1630307599,612C850F,2009-243T06,45,0,17,1,
1630311199,612C931F,2009-243T07,34,0,21,0,
1630314799,612CA12F,2009-243T08,35,0,24,1,
1630318399,612CAF3F,2009-243T09,33,0,13,0,
1630321999,612CBD4F,2009-243T10,27,1,17,0,
1630325599,612CCB5F,2009-243T11,32,0,17,0,
1630329199,612CD96F,2009-243T12,29,0,29,2,
1630332799,612CE77F,2009-243T13,25,1,11,0,
1630336399,612CF58F,2009-243T14,24,0,22,4,
1630339999,612D039F,2009-243T15,33,1,12,3,
1630343599,612D11AF,2009-243T16,29,1,19,0,
1630347199,612D1FBF,2009-243T17,32,1,19,1,
1630350799,612D2DCF,2009-243T18,29,0,13,0,
1630354399,612D3BDF,2009-243T19,37,0,15,0,
1630357999,612D49EF,2009-243T20,23,0,23,0,
1630361599,612D57FF,2009-243T21,29,0,15,0,
1630365199,612D660F,2009-243T22,26,0,16,1,
1630368799,612D741F,2009-243T23,30,0,18,0,
1630372399,612D822F,2009-244T00,28,0,9,0,
1630375999,612D903F,2009-244T01,27,1,26,0,
1630379599,612D9E4F,2009-244T02,37,2,17,0,
1630383199,612DAC5F,2009-244T03,31,0,20,0,
1630386799,612DBA6F,2009-244T04,30,0,14,0,
1630390399,612DC87F,2009-244T05,29,0,15,0,
1630393999,612DD68F,2009-244T06,30,0,10,0,
1630397599,612DE49F,2009-244T07,26,1,12,0,
1630401199,612DF2AF,2009-244T08,41,0,14,0,
1630404799,612E00BF,2009-244T09,35,0,18,0,
1630408399,612E0ECF,2009-244T10,27,0,28,0,
1630411999,612E1CDF,2009-244T11,34,0,15,0,
1630415599,612E2AEF,2009-244T12,32,0,11,0,
1630419199,612E38FF,2009-244T13,27,0,8,0,
1630422799,612E470F,2009-244T14,32,0,26,0,
1630426399,612E551F,2009-244T15,27,0,17,0,
1630429999,612E632F,2009-244T16,40,1,13,0,
1630433599,612E713F,2009-244T17,32,0,19,0,
1630437199,612E7F4F,2009-244T18,36,0,9,1,
1630440799,612E8D5F,2009-244T19,32,1,14,0,
1630444399,612E9B6F,2009-244T20,43,0,22,0,
1630447999,612EA97F,2009-244T21,35,3,18,1,
1630451599,612EB78F,2009-244T22,32,0,14,0,
1630455199,612EC59F,2009-244T23,31,0,18,1,
1630458799,612ED3AF,2009-245T00,35,0,24,0,
1630462399,612EE1BF,2009-245T01,52,0,17,0,
1630465999,612EEFCF,2009-245T02,40,0,11,0,
1630469599,612EFDDF,2009-245T03,39,0,12,0,
1630470144,612F0000,2009-245T03,0,0,0,0,
1630473199,612F0BEF,2009-245T04,33,3,11,0,
1630476799,612F19FF,2009-245T05,31,0,18,0,
1630480399,612F280F,2009-245T06,26,0,28,0,
1630483999,612F361F,2009-245T07,27,0,24,4,
1630487599,612F442F,2009-245T08,39,0,19,0,
1630491199,612F523F,2009-245T09,30,0,18,0,
1630494799,612F604F,2009-245T10,31,0,13,0,
1630498399,612F6E5F,2009-245T11,26,0,16,0,
1630501999,612F7C6F,2009-245T12,39,0,14,0,
1630505599,612F8A7F,2009-245T13,36,1,17,0,
1630509199,612F988F,2009-245T14,23,0,16,0,
1630512799,612FA69F,2009-245T15,14,2,0,0,
1630516399,612FB4AF,2009-245T16,39,1,15,0,
1630519999,612FC2BF,2009-245T17,29,0,29,0,
1630523599,612FD0CF,2009-245T18,42,0,15,0,
1630527199,612FDEDF,2009-245T19,30,1,22,0,
1630530799,612FECEF,2009-245T20,26,0,16,0,
1630534399,612FFAFF,2009-245T21,2,0,8,0,
1630537999,6130090F,2009-245T22,21,0,12,0,
1630541599,6130171F,2009-245T23,23,0,17,0,
1630545199,6130252F,2009-246T00,32,0,17,0,
1630548799,6130333F,2009-246T01,32,0,21,0,
1630552399,6130414F,2009-246T02,27,0,16,0,
1630555999,61304F5F,2009-246T03,26,1,24,1,
1630559599,61305D6F,2009-246T04,36,2,15,0,
1630563199,61306B7F,2009-246T05,42,0,13,0,
1630566799,6130798F,2009-246T06,27,0,13,0,
1630570399,6130879F,2009-246T07,26,0,17,0,
1630573999,613095AF,2009-246T08,36,0,15,0,
