Decimal,Hex Time,SCET,SSR-A-SBE,SSR-A-DBE,SSR-B-SBE,SSR-B-DBE,,
1578773599,5E1A2C5F,2008-011T19,43,0,26,0,,
1580605999,5E36222F,2008-033T00,31,0,26,0,,
1580818399,5E395FDF,2008-035T11,36,0,26,0,,
1581055999,5E3CFFFF,2008-038T05,26,0,26,0,,
1581077599,5E3D545F,2008-038T11,21,1,26,0,,
1581743599,5E477DEF,2008-046T04,19,0,26,1,,
1581747199,5E478BFF,2008-046T05,21,0,26,2,,
1473909604,57DA1364,2004-259T02,13,0,25,1,,
1478085604,5819CBE4,2004-307T10,12,0,25,0,,
1478474404,581FBAA4,2004-311T22,23,1,25,0,,
1482585604,585E7604,2004-359T12,20,0,25,0,,
1485134404,58855A44,2005-023T00,26,0,25,0,,
1485400804,58896AE4,2005-026T02,47,0,25,0,,
1490790004,58DBA674,2005-088T11,227,3,25,0,,
1499282404,595D3BE4,2005-186T18,29,0,25,0,,
1502446804,598D84D4,2005-223T09,26,0,25,0,,
1503454804,599CE654,2005-235T01,198,0,25,0,,
1503872404,59A34594,2005-239T21,79,0,25,3,,
1511976004,5A1EEC44,2005-333T16,17,0,25,0,,
1516458004,5A635014,2006-020T13,10,0,25,8,,
1516652404,5A664774,2006-022T19,22,0,25,0,,
1522077604,5AB90FA4,2006-085T14,13,0,25,0,,
1523107204,5AC8C584,2006-097T12,208,1,25,0,,
1527844804,5B110FC4,2006-152T08,31,0,25,0,,
1527938404,5B127D64,2006-153T10,102,5,25,0,,
1528413604,5B19BDA4,2006-158T22,37,0,25,0,,
1529104804,5B2449A4,2006-166T22,23,0,25,0,,
1530170404,5B348C24,2006-179T06,30,0,25,1,,
1531167604,5B43C374,2006-190T19,30,0,25,0,,
1531938004,5B4F84D4,2006-199T17,138,9,25,0,,
1532470804,5B57A614,2006-205T21,27,0,25,0,,
1533507604,5B677814,2006-217T21,34,1,25,0,,
1533745204,5B6B1834,2006-220T15,31,0,25,0,,
1534886404,5B7C8204,2006-233T20,26,0,25,0,,
1535300404,5B82D334,2006-238T15,49,0,25,0,,
1536430804,5B9412D4,2006-251T17,315,9,25,0,,
1536470404,5B94AD84,2006-252T04,376,14,25,0,,
1539811204,5BC7A784,2006-290T20,80,2,25,1,,
1539951604,5BC9CBF4,2006-292T11,61,2,25,2,,
1540081204,5BCBC634,2006-293T23,827,18,25,0,,
1540099204,5BCC0C84,2006-294T04,684,9,25,0,,
1540102804,5BCC1A94,2006-294T05,558,8,25,0,,
1540952404,5BD91154,2006-304T01,64,0,25,1,,
1541128804,5BDBC264,2006-306T02,103,0,25,0,,
1541798404,5BE5FA04,2006-313T20,267,0,25,0,,
1541870404,5BE71344,2006-314T16,668,7,25,0,,
1542540004,5BF14AE4,2006-322T10,720,20,25,0,,
1542820804,5BF593C4,2006-325T16,1361,14,25,0,,
1542946804,5BF77FF4,2006-327T03,1137,6,25,0,,
1544322004,5C0C7BD4,2006-343T01,131,15,25,0,,
1544779204,5C1375C4,2006-348T08,1624,10,25,1,,
1546107604,5C27BAD4,2006-363T17,774,12,25,1,,
1546183204,5C28E224,2006-364T14,1430,29,25,1,,
1546374004,5C2BCB74,2007-001T19,1692,9,25,0,,
1546478404,5C2D6344,2007-003T00,186,19,25,1,,
1548321604,5C498344,2007-024T08,1861,9,25,0,,
1551993604,5C818B04,2007-066T20,529,18,25,0,,
1552339204,5C86D104,2007-070T20,1647,14,25,0,,
1552764004,5C8D4C64,2007-075T18,2053,20,25,0,,
1552774804,5C8D7694,2007-075T21,1992,20,25,1,,
1553278804,5C952754,2007-081T17,668,12,25,0,,
1553365204,5C9678D4,2007-082T17,873,21,25,0,,
1553401204,5C970574,2007-083T03,3133,16,25,0,,
1553592004,5C99EEC4,2007-085T08,1957,18,25,0,,
1553718004,5C9BDAF4,2007-086T19,320,18,25,0,,
1554492004,5CA7AA64,2007-095T18,315,35,25,0,,
1555521604,5CB76044,2007-107T16,1264,18,25,0,,
1555564804,5CB80904,2007-108T04,617,15,25,0,,
1556936404,5CCCF6D4,2007-124T01,1818,25,25,0,,
1558254004,5CE111B4,2007-139T07,784,17,25,0,,
