date	daily_rate	gcr_component	normalized_rate
2021-12-07 12:00:00	1.6	1.3410125114722056	1.1931283163372353
2021-12-08 12:00:00	1.4	1.3403166683379895	1.0445292766044747
2021-12-09 12:00:00	1.8	1.3396205378400252	1.3436640818468495
2021-12-10 12:00:00	1.4	1.3389241218147272	1.045615638100905
2021-12-11 12:00:00	1.2	1.338227422099262	0.8967085714904673
2021-12-12 12:00:00	1.4	1.3375304405315454	1.0467051497113058
2021-12-13 12:00:00	1.4	1.3368331789502346	1.0472510871546201
2021-12-14 12:00:00	1.6	1.3361356391947272	1.1974832143271776
2021-12-15 12:00:00	1.8	1.3354378231051547	1.3478725619846885
2021-12-16 12:00:00	1.2	1.3347397325223778	0.8990516808338747
2021-12-17 12:00:00	1.6	1.3340413692879791	1.1993631058487877
2021-12-18 12:00:00	1.6	1.3333427352442628	1.1999915383398303
2021-12-19 12:00:00	2.0	1.3326438322342478	1.5007760900726899
2021-12-20 12:00:00	2.4	1.3319446621016597	1.8018766607113152
2021-12-21 12:00:00	2.0	1.3312452266909314	1.5023528046529704
2021-12-22 12:00:00	1.8	1.330545527847195	1.3528285671760336
2021-12-23 12:00:00	1.4	1.3298455674162777	1.052753819167156
2021-12-24 12:00:00	1.4	1.329145347244695	1.0533084307913998
2021-12-25 12:00:00	1.6	1.32844486917965	1.204415807626283
2021-12-26 12:00:00	1.6	1.3277441350690249	1.2050514536197303
2021-12-27 12:00:00	1.6	1.3270431467613786	1.2056880018594476
2021-12-28 12:00:00	2.0	1.3263419061059378	1.50790681557509
2021-12-29 12:00:00	1.8	1.3256404149525975	1.357834281225022
2021-12-30 12:00:00	2.0	1.324938675151913	1.5095038264851668
2021-12-31 12:00:00	1.8	1.3242366885550956	1.3592736219716284
2022-01-01 12:00:00	1.4	1.323534457014006	1.057773745580078
2022-01-02 12:00:00	2.0	1.322831982381153	1.5119078058574877
2022-01-03 12:00:00	2.0	1.322129266509686	1.5127113896206517
2022-01-04 12:00:00	2.4	1.321426311253392	1.816219322682901
2022-01-05 12:00:00	2.6	1.320723118466686	1.9686185269615861
2022-01-06 12:00:00	2.2	1.3200196900046137	1.6666418059205699
2022-01-07 12:00:00	1.8	1.319316027722841	1.3643433128807103
2022-01-08 12:00:00	2.0	1.318612133477649	1.5167462434349734
2022-01-09 12:00:00	1.8	1.317908009125933	1.3658009417469141
2022-01-10 12:00:00	1.8	1.317203656525194	1.3665312809322372
2022-01-11 12:00:00	2.6	1.3164990775335368	1.9749349197198864
2022-01-12 12:00:00	2.0	1.3157942740096606	1.5199944546842707
2022-01-13 12:00:00	2.4	1.3150892478128593	1.8249711979559324
2022-01-14 12:00:00	2.0	1.3143840008030134	1.5216253383928247
2022-01-15 12:00:00	1.4	1.3136785348405866	1.065709732533529
2022-01-16 12:00:00	2.0	1.3129728517866184	1.5232607416661468
2022-01-17 12:00:00	1.4	1.3122669535027225	1.0668560968201624
2022-01-18 12:00:00	1.8	1.3115608418510802	1.372410598550318
2022-01-19 12:00:00	2.2	1.3108545186944367	1.6782945541440555
2022-01-20 12:00:00	2.0	1.3101479858960916	1.5265451090489413
2022-01-21 12:00:00	2.8	1.3094412453199014	2.138316636968274
2022-01-22 12:00:00	2.6	1.3087342988302697	1.986652296286456
2022-01-23 12:00:00	2.2	1.3080271482921415	1.681922277280319
2022-01-24 12:00:00	2.0	1.3073197955710019	1.5298475604635469
2022-01-25 12:00:00	1.0	1.306612242532869	0.7653379996359893
2022-01-26 12:00:00	1.4	1.30590449104429	1.072053897969571
2022-01-27 12:00:00	1.8	1.3051965429723336	1.3791026414311878
2022-01-28 12:00:00	1.6	1.304488400184589	1.226534478783863
2022-01-29 12:00:00	2.2	1.303780064549158	1.6874011651349736
2022-01-30 12:00:00	1.6	1.3030715379346527	1.2278681203765482
2022-01-31 12:00:00	1.2	1.3023628222101862	0.9214022233554928
2022-02-01 12:00:00	1.2	1.301653919245373	0.9219040347496464
2022-02-02 12:00:00	0.8	1.3009448309103206	0.61493768297631
2022-02-03 12:00:00	1.2	1.3002355590756265	0.9229096924968836
2022-02-04 12:00:00	1.2	1.2995261056123697	0.9234135388411682
2022-02-05 12:00:00	1.4	1.298816472392111	1.0779044074037134
2022-02-06 12:00:00	1.4	1.298106661286884	1.0784938108337752
2022-02-07 12:00:00	1.0	1.297396674169193	0.7707742897062417
2022-02-08 12:00:00	1.4	1.2966865129120042	1.0796749916492783
2022-02-09 12:00:00	1.2	1.2959761793887452	0.9259429448510288
2022-02-10 12:00:00	1.4	1.2952656754732983	1.0808593375937574
2022-02-11 12:00:00	1.4	1.2945550030399926	1.081452697422969
2022-02-12 12:00:00	1.2	1.293844163963605	0.9274687272413706
2022-02-13 12:00:00	1.0	1.2931331601193499	0.773315564738673
2022-02-14 12:00:00	1.6	1.2924219933828782	1.2379857416477764
2022-02-15 12:00:00	1.6	1.291710665630268	1.238667483804748
2022-02-16 12:00:00	1.6	1.290999178738024	1.2393501300008807
2022-02-17 12:00:00	2.0	1.2902875345830704	1.5500421002255582
2022-02-18 12:00:00	1.2	1.2895757350427468	0.93053860071291
2022-02-19 12:00:00	1.4	1.2888637819948008	1.086228055716789
2022-02-20 12:00:00	1.2	1.2881516773173867	0.9315673155035864
2022-02-21 12:00:00	1.0	1.2874394228890582	0.7767355746773434
2022-02-22 12:00:00	1.2	1.286727020588765	0.9325987414571573
2022-02-23 12:00:00	1.2	1.2860144722958449	0.9331154709773302
2022-02-24 12:00:00	1.8	1.2853017798900221	1.4004493171666024
