	date	rate
1936	2009-04-20	2.4545454545454546
1937	2009-04-21	2.727272727272727
1938	2009-04-22	2.3636363636363638
1939	2009-04-23	2.0
1940	2009-04-24	1.9090909090909092
1941	2009-04-25	2.090909090909091
1942	2009-04-26	1.8181818181818181
1943	2009-04-27	1.6363636363636365
1944	2009-04-28	1.7272727272727273
1945	2009-04-29	1.5454545454545454
1946	2009-04-30	1.7272727272727273
1947	2009-05-01	1.5454545454545454
1948	2009-05-02	1.5454545454545454
1949	2009-05-03	1.7272727272727273
1950	2009-05-04	1.8181818181818181
1951	2009-05-05	1.6363636363636365
1952	2009-05-06	1.6363636363636365
1953	2009-05-07	1.6363636363636365
1954	2009-05-08	1.7272727272727273
1955	2009-05-09	1.5454545454545454
1956	2009-05-10	1.6363636363636365
1957	2009-05-11	1.4545454545454546
1958	2009-05-12	1.3636363636363635
1959	2009-05-13	1.5454545454545454
1960	2009-05-14	1.3636363636363635
1961	2009-05-15	1.5454545454545454
1962	2009-05-16	1.5454545454545454
1963	2009-05-17	1.6363636363636365
1964	2009-05-18	1.6363636363636365
1965	2009-05-19	1.6363636363636365
1966	2009-05-20	1.5454545454545454
1967	2009-05-21	1.5454545454545454
1968	2009-05-22	1.7272727272727273
1969	2009-05-23	1.4545454545454546
1970	2009-05-24	1.6363636363636365
1971	2009-05-25	1.8181818181818181
1972	2009-05-26	1.7272727272727273
1973	2009-05-27	1.7272727272727273
1974	2009-05-28	1.7272727272727273
1975	2009-05-29	2.0
1976	2009-05-30	2.1818181818181817
1977	2009-05-31	2.4545454545454546
1978	2009-06-01	2.4545454545454546
1979	2009-06-02	2.5454545454545454
1980	2009-06-03	2.3636363636363638
1981	2009-06-04	1.9090909090909092
1982	2009-06-05	1.7272727272727273
1983	2009-06-06	1.5454545454545454
1984	2009-06-07	1.4545454545454546
1985	2009-06-08	1.7272727272727273
1986	2009-06-09	1.6363636363636365
1987	2009-06-10	1.5454545454545454
1988	2009-06-11	1.7272727272727273
1989	2009-06-12	1.7272727272727273
1990	2009-06-13	1.7272727272727273
1991	2009-06-14	1.8181818181818181
1992	2009-06-15	1.8181818181818181
1993	2009-06-16	2.090909090909091
1994	2009-06-17	2.272727272727273
1995	2009-06-18	1.8181818181818181
1996	2009-06-19	1.6363636363636365
1997	2009-06-20	1.6363636363636365
1998	2009-06-21	1.4545454545454546
1999	2009-06-22	1.3636363636363635
2000	2009-06-23	1.5454545454545454
2001	2009-06-24	1.6363636363636365
2002	2009-06-25	1.8181818181818181
2003	2009-06-26	1.5454545454545454
2004	2009-06-27	1.4545454545454546
2005	2009-06-28	1.3636363636363635
2006	2009-06-29	1.2727272727272727
2007	2009-06-30	1.1818181818181819
2008	2009-07-01	1.0909090909090908
2009	2009-07-02	1.0909090909090908
2010	2009-07-03	0.8181818181818182
2011	2009-07-04	0.8181818181818182
2012	2009-07-05	0.9090909090909091
2013	2009-07-06	1.2727272727272727
2014	2009-07-07	1.0909090909090908
2015	2009-07-08	1.1818181818181819
2016	2009-07-09	1.3636363636363635
2017	2009-07-10	1.2727272727272727
2018	2009-07-11	1.3636363636363635
2019	2009-07-12	1.3636363636363635
2020	2009-07-13	1.4545454545454546
2021	2009-07-14	1.4545454545454546
2022	2009-07-15	1.6363636363636365
2023	2009-07-16	1.3636363636363635
2024	2009-07-17	1.5454545454545454
2025	2009-07-18	1.6363636363636365
2026	2009-07-19	1.4545454545454546
2027	2009-07-20	1.5454545454545454
2028	2009-07-21	1.3636363636363635
2029	2009-07-22	1.5454545454545454
2030	2009-07-23	1.4545454545454546
